CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U17299TZ2020PTC034093,LEAPGLOBAL SUSTAINABLE SOLUTIONS PRIVATE LIMITED,ROC Coimbatore,Company limited by shares,Non-government company,Private,1500000,100000,15-07-2020,"484, KAMARAJ ROAD,   UPPILIPALAYAM,COIMBATORE,Coimbatore,Tamil Nadu,641015-India",Unlisted,Active,tamil nadu,Indian,17299,Manufacturing (Textiles)
U17299TZ2020PTC034354,SERENDIP SOURCING PRIVATE LIMITED,ROC Coimbatore,Company limited by shares,Non-government company,Private,3200000,3200000,19-08-2020,"1/219,MUTHUGOUNDENPUDUR ROAD,NEELAMBUR EAST STREET   NEELAMBUR PO, CIVIL AERODROME,,COIMBATORE,Coimbatore,Tamil Nadu,641062-India",Unlisted,Active,tamil nadu,Indian,17299,Manufacturing (Textiles)
U17299TZ2022PTC039409,VICTUS KNITING PRIVATE LIMITED,ROC Coimbatore,Company limited by shares,Non-government company,Private,1500000,1500000,11-07-2022,"29A, MAGILAGAM, SNEHAM GARDENS   K.P.N COLONY 3RD STREET,,TIRUPUR,Coimbatore,Tamil Nadu,641601-India",Unlisted,Strike Off,tamil nadu,Indian,17299,Manufacturing (Textiles)
U17299TZ2022PTC039757,TRIZOTEX TECHNOLOGIES PRIVATE LIMITED,ROC Coimbatore,Company limited by shares,Non-government company,Private,1500000,400000,23-08-2022,"NO.11, STATE BANK COLONY   KONGU NAGAR 4TH STREET EXTENSION,TIRUPUR,Erode,Tamil Nadu,641607-India",Unlisted,Active,tamil nadu,Indian,17299,Manufacturing (Textiles)
U17300TZ2021PTC036575,SHASTRA SHAKTIK FASHIONS PRIVATE LIMITED,ROC Coimbatore,Company limited by shares,Non-government company,Private,500000,500000,14-07-2021,"D No 1/1227 D-1, Jothy Nagar,   Veerapandi Village,,Coimbatore,Coimbatore,Tamil Nadu,641605-India",Unlisted,Active,tamil nadu,Indian,17300,Manufacturing (Textiles)
U17309TZ2020PTC034056,ROYALS TEXTILE MILL PRIVATE LIMITED,ROC Coimbatore,Company limited by shares,Non-government company,Private,5000000,5000000,10-07-2020,"NO.642/3B, KADAIYURANVALASU, UPPUPALAYAM (PO)   VELLAKOVIL, KANGEYAM (TK),TIRUPPUR,Erode,Tamil Nadu,638111-India",Unlisted,Active,tamil nadu,Indian,17309,Manufacturing (Textiles)
U18101TN2020PTC135803,REPLETE COLLECTIVES PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,100000,30000,13-06-2020,"OLD NO 9 NEW NO 17, SEETHAMMAL ROAD,   SEETHAMMAL COLONY, ALWARPET,CHENNAI,Chennai,Tamil Nadu,600018-India",Unlisted,Active,tamil nadu,Indian,18101,Manufacturing (Textiles)
U18120TN2024PTC171735,INKBOATZ INDIA PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1500000,400000,09-07-2024,"No.75 Perundurai Road,Erode,Erode,Tamil Nadu,638011-India",Unlisted,Active,tamil nadu,Indian,18120,"Manufacturing (Paper and Paper products, Publishing, printingand reproduction of recorded media)"
U18203TZ2020PTC034231,SREE LAKSHMI APPARELS PRIVATE LIMITED,ROC Coimbatore,Company limited by shares,Non-government company,Private,6000000,6000000,02-08-2020,"D.No 880, Sri Gokulakrishna Nagar, TKT   Mill Stop, Palladam Road,Veerapandi Post,Tirupur,Coimbatore,Tamil Nadu,641605-India",Unlisted,Active,tamil nadu,Indian,18203,Manufacturing (Textiles)
U19100TZ2021PTC036697,TOKEI LIFESTYLE PRIVATE LIMITED,ROC Coimbatore,Company limited by shares,Non-government company,Private,1500000,10000,30-07-2021,"S13-C, Second Floor, Sreevatsa Square   Mettupalayam Road, Thudiyalur,Coimbatore,Coimbatore,Tamil Nadu,641034-India",Unlisted,Active,tamil nadu,Indian,19100,Manufacturing (Leather and products thereof)
U93190TN2024PTC172011,KALABHARANAM ACADEMY OF ARTS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,10000,10000,19-07-2024,"10/14 Aranganathan,subway road,Chennai City Corporation,Chennai,Tamil Nadu,600015-India",Unlisted,Active,tamil nadu,Indian,93190,"Community, personal and Social Services"
U93190TZ2024OPC031917,TALENT SQUARE ACADEMY (OPC) PRIVATE LIMITED,ROC Coimbatore,Company limited by shares,Non-government company,One Person Company,1000000,100000,01-07-2024,"206,NSR Road,Saibaba colony,Coimbatore North,Coimbatore,Tamil Nadu,641011-India",Unlisted,Active,tamil nadu,Indian,93190,"Community, personal and Social Services"
U93290TN2024PTC170810,SOORYA VISION VENTURE PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,300000,30000,04-06-2024,"N.NO.16/11 O.NO.48A/11,,FLAT NO.T2 3RD FLOOR,,Chennai,Chennai,Tamil Nadu,600017-India",Unlisted,Active,tamil nadu,Indian,93290,"Community, personal and Social Services"
U95221TN2023PTC163047,MECHKENZY ENGINEERS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1500000,50000,23-08-2023,"Old No. 46/2, New No. 121, Konnur High Road,Aynavaram,Perambur Purasawalkam,Chennai,Tamil Nadu,600023-India",Unlisted,Active,tamil nadu,Indian,95221,"Community, personal and Social Services"
U01409TN2020PTC135550,ILANTHENDRAL FARMER PRODUCER COMPANY LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1500000,521000,03-06-2020,"NO 242, SANIPPATTI   SONARAHALLI, KAVANDANUR,KRISHNAGIRI,Krishnagiri,Tamil Nadu,635203-India",Unlisted,Active,tamil nadu,Indian,1409,Agriculture and Allied Activities
U01409TN2021PTC145371,COUNTRYSIDE DAIRY SERVICES PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1000000,100000,09-08-2021,"No.466, TNHB Phase 2   Dharmapuri Main Road,Tirupattur,Dharmapuri,Tamil Nadu,635601-India",Unlisted,Active,tamil nadu,Indian,1409,Agriculture and Allied Activities
U67190TN2022PTC154129,LATERPE TECHNOLOGIES PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,100000,10000,21-07-2022,"165, 2nd  Main Road, Sundaram   Pillai Nagar 1st Floor Tondiarpet,Chennai,Chennai,Tamil Nadu,600081-India",Unlisted,Active,tamil nadu,Indian,67190,Finance
U67190TN2022PTC154570,CRESTTO FOREX PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,2800000,2800000,12-08-2022,"3/689, WEST AVENUE ROAD   MUTHAMIL NAGAR, KODUNGAIYUR,CHENNAI,Chennai,Tamil Nadu,600118-India",Unlisted,Active,tamil nadu,Indian,67190,Finance
U68100TN2023PTC163299,MMA DREAM REALS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1000000,1000000,31-08-2023,"30/307, FIRST FLOOR,SARVESHVARAN TOWERS,,Tambaram,Kanchipuram,Tamil Nadu,600045-India",Unlisted,Active,tamil nadu,Indian,68100,Real Estate and Renting
U68100TN2024PTC171227,LODHIKA SHREE REALITY DEVELOPERS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,100000,100000,21-06-2024,"4/3,Thiruppur Kumaran Street,Tambaram,Kanchipuram,Tamil Nadu,600063-India",Unlisted,Active,tamil nadu,Indian,68100,Real Estate and Renting
U68100TN2024PTC172486,S.S.MADHINI HOSPITALITY PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,25000000,10000000,06-08-2024,"24/1,GROUNDFLOOR MAINROAD,KEELAKUDIYERUPPU VILLAGE,Udayarpalayam,Ariyalur,Tamil Nadu,621802-India",Unlisted,Active,tamil nadu,Indian,68100,Real Estate and Renting
U68100TZ2023PTC028742,SMART AVENUE PROPERTY DEVELOPERS PRIVATE LIMITED,ROC Coimbatore,Company limited by shares,Non-government company,Private,1500000,1500000,23-06-2023,"D.No:320,,Vivekananda Street,Salem,Salem,Tamil Nadu,636016-India",Unlisted,Active,tamil nadu,Indian,68100,Real Estate and Renting
U68100TZ2023PTC028852,MASR PADMAVATI CONSTRUCTIONS PRIVATE LIMITED,ROC Coimbatore,Company limited by shares,Non-government company,Private,1000000,10000,07-07-2023,"D.NO.4/2-X, MTP ROAD,,LAKSHMI PRABA COMPLEX,,Coimbatore North,Coimbatore,Tamil Nadu,641030-India",Unlisted,Active,tamil nadu,Indian,68100,Real Estate and Renting
U68100TZ2024PTC032202,VIDVATAM CONSTRUCTIONS PRIVATE LIMITED,ROC Coimbatore,Company limited by shares,Non-government company,Private,1000000,100000,05-08-2024,"Dr No 9/11,Palladam,Tiruppur,Kangeyam,Erode,Tamil Nadu,638111-India",Unlisted,Active,tamil nadu,Indian,68100,Real Estate and Renting
U68200TN2024PTC171828,PARVED DEVELOPERS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1500000,100000,11-07-2024,"Plot 4, Dominos Building,Nolambur Main Road,,Ambattur,Tiruvallur,Tamil Nadu,600037-India",Unlisted,Active,tamil nadu,Indian,68200,Real Estate and Renting
U69201TN2023PTC160998,V SAVITHRI AND ASSOCIATES PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,100000,10000,05-06-2023,"NO.5/6, NEW KUBERA NAGAR,,5TH STREET,,Saidapet,Kanchipuram,Tamil Nadu,600091-India",Unlisted,Active,tamil nadu,Indian,69201,"Community, personal and Social Services"
U15134TN2020PTC135723,SUVASAM FOODS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,100000,10000,11-06-2020,"NO.302/3,   BACK SIDE TO ROEVER SCHOOL,,PERAMBALUR,Tiruchirappalli,Tamil Nadu,621212-India",Unlisted,Active,tamil nadu,Indian,15134,Manufacturing (Food stuffs)
U18209TZ2021PTC036858,VAIRAVEL INFRA TEX PRIVATE LIMITED,ROC Coimbatore,Company limited by shares,Non-government company,Private,5000000,1500000,23-08-2021,"SF No 727/2, Vemandampalayam   A.H Palli (PO), Arachalur (Via),Erode,Erode,Tamil Nadu,638101-India",Unlisted,Active,tamil nadu,Indian,18209,Manufacturing (Textiles)
U52322TN2020PTC135925,BIO BRING IT ON PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1000000,100000,20-06-2020,"OLD NO 215, NEW NO 8 F BLOCK   1ST STREET ANNA NAGAR EAST,CHENNAI,Chennai,Tamil Nadu,600040-India",Unlisted,Active,tamil nadu,Indian,52322,Trading
U52392TN2021PTC145042,GIRI COMPUTER PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,500000,100000,26-07-2021,"19, RamaRao Garden 1st Street,Royapettah,Chennai,Chennai,Tamil Nadu,600014-India",Unlisted,Active,tamil nadu,Indian,52392,Trading
U52397TN2022PTC154692,AAHAA 5 GEN MART PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,100000,100000,19-08-2022,"540, 5TH EAST STREET, SENTHURPURAM EXTN.   INDIRA NAGAR SECOND CROSS,KATTUPAKKAM,Chennai,Tamil Nadu,600056-India",Unlisted,Active,tamil nadu,Indian,52397,Trading
U52399TN2020PTC135628,AVIGNA RETAIL PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1000000,1000000,06-06-2020,"No. 1822, I - Block, 13th Main Road   Anna Nagar West,Anna Nagar,Chennai,Tamil Nadu,600040-India",Unlisted,Active,tamil nadu,Indian,52399,Trading
