CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U51909TG2020PTC142263,KAILASA LIFESTYLE PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,1000000,100000,29-07-2020,"6-8-109, Katedan,Saroornagar,K.V.Rangareddy,Telangana,500005-India",Unlisted,Active,telangana,Indian,51909,Trading
U51909TG2021OPC153315,RESPY EXIM (OPC) PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,One Person Company,100000,100000,20-07-2021,"Flat no 505   Tropical spring, Neredmet,Secunderabad,Hyderabad,Telangana,500094-India",Unlisted,Active,telangana,Indian,51909,Trading
U51909TG2021PTC151937,SWAPNA RANI LIFESTYLE PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,1000000,100000,01-06-2021,"H.NO 3-2-170/1  VIDYA NAGAR COLONY   CHUNCHUPALLI, KOTHAGUDEM,KHAMMAM,Khammam,Telangana,507101-India",Unlisted,Active,telangana,Indian,51909,Trading
U51909TG2021PTC152426,UMADEVI FORTUNESHOWERS PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,1000000,100000,22-06-2021,"1-66, 1-67, Plot No.36,37,38   Sringeri Colony, New Nagole, Saroornagar,Hyderabad,Rangareddi,Telangana,500035-India",Unlisted,Active,telangana,Indian,51909,Trading
U51909TG2021PTC152471,ESPR MARKETING PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,1000000,100000,23-06-2021,"P.No.19, Manu Enclave   Yapral,Malkajgiri,Hyderabad,Telangana,500087-India",Unlisted,Active,telangana,Indian,51909,Trading
U51909TG2022PTC164236,TRUE FINDS SELLER SERVICES PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,1000000,100000,29-06-2022,"FLAT NO 203, RAGHAVA RESIDENCY, ROAD NO 11   BANJARA HILLS,HYDERABAD,Hyderabad,Telangana,500034-India",Unlisted,Active,telangana,Indian,51909,Trading
U51909TG2022PTC164367,VEERAMMA TALLI FOOD INDUSTRIES PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,15000000,14170000,01-07-2022,"301, plot no. 356, street no. 8, kakatiya hills,MADHAPUR,Shaikpet,Hyderabad,Telangana,500081-India",Unlisted,Active,telangana,Indian,51909,Trading
U51909TG2022PTC165393,PAWANA SANJEEVANI WELLNESS MARKETING PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,1500000,100000,02-08-2022,"H.NO-4-62/2/A/11   PO-JALIGAOM, SIDDIPET,GAJWEL,Medak,Telangana,502278-India",Unlisted,Active,telangana,Indian,51909,Trading
U51909TG2022PTC165989,ASIAN KART PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,1000000,100000,25-08-2022,"Plot 102 & 102, Green Field   Beeramguda,Patancheru,Medak,Telangana,502032-India",Unlisted,Active,telangana,Indian,51909,Trading
U24290TG2020PTC142350,ALKIMIA PHARMA-CHEM PRIVATE LIMITED,ROC Hyderabad,Company limited by shares,Non-government company,Private,1000000,100000,31-07-2020,"H.No.6-3-865/D/1 to 4, 1st Floor   Madhupala Towers, Ameerpet,Hyderabad,Hyderabad,Telangana,500016-India",Unlisted,Active,telangana,Indian,24290,"Manufacturing (Metals and Chemicals, and products thereof)"
