CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U80900KA2022NPL165236,WESTERN MOUNTAINS DESIGN FOUNDATION,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,100000,23-08-2022,"D-201 VAJRAM TIARA DODDABALLAPUR ROAD   AVALAHALLI YELAHANKA,BENGALURU,Bangalore,Karnataka,560064-India",Unlisted,Active,karnataka,Indian,80900,"Community, personal and Social Services"
U80900KA2022OPC164847,SGA BRITE EDUCATORS (OPC) PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,One Person Company,100000,100000,11-08-2022,"C/O RANGANATH, 18 DANINA MANDEC   MAGADI MAIN ROAD, BHARATHNAGAR,BANGALORE,Bangalore,Karnataka,560091-India",Unlisted,Active,karnataka,Indian,80900,"Community, personal and Social Services"
U80900KA2022PTC163459,GERIZIM ACADEMY OF RESEARCH AND DEVELOPMENT PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,100000,10000,06-07-2022,"GF1 112, HAL Post, Sriramnagari,Bangalore,Bangalore,Karnataka,560017-India",Unlisted,Active,karnataka,Indian,80900,"Community, personal and Social Services"
U74220KA2022PTC162804,HARMONY HUB INDIA PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,1000000,23-06-2022,"No. 1101, Cabin No. 417, 4th Floor,   24th Main, J P Nagar 1st Phase,Bangalore,Bangalore,Karnataka,560078-India",Unlisted,Active,karnataka,Indian,74220,Business Services
U80902KA2021PTC148318,WHITEBUD ACADEMY PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,100000,10-06-2021,"NO144/1, 1ST FLOOR, SRI BALAJI ARCADE, HARALUKUNTE   SOMASANDRAPALYA ROAD,NEAR SAI GARMENT,BO,MMANAHALLI,Bangalore,Bangalore,Karnataka,560068-India",Unlisted,Strike Off,karnataka,Indian,80902,"Community, personal and Social Services"
U63999KA2023PTC176303,YCMN TECHNOLOGIES PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1500000,100000,20-07-2023,"S. No. 40 Sai Siri Layout President Thimmappa Apartments,BSFCampus,Bangalore North,Bangalore,Karnataka,560063-India",Unlisted,Active,karnataka,Indian,63999,Business Services
U64200KA2021PTC148349,TATTVANET BROADBAND PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,100000,100000,11-06-2021,"100, 5TH CROSS ROAD, BASAPPA LAYOUYT,   PATTANAGERE,,BANGALORE,Bangalore,Karnataka,560098-India",Unlisted,Active,karnataka,Indian,64200,"Transport, storage and Communications"
U64201KA2021PTC149880,ARCASTECH GLOBAL PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,100000,23-07-2021,"#9, LEONARD LANE, 3rd FLOOR,RICHMOND TOWN,Bangalore North,Bangalore,Karnataka,560025-India",Unlisted,Active,karnataka,Indian,64201,"Transport, storage and Communications"
U25199KA2022PTC162663,JD POLYMERS PACKAGING SOLUTIONS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1000000,100000,20-06-2022,"SY NO 112/4, SHED NO 3, OPP TO VISHWAPRAGNAA   SCHOOL, GIDDADAHALLI, YELACHAGUPPE VILLA,GE,TAVAREKERE HOBLI,Bangalore,Karnataka,562130-India",Unlisted,Active,karnataka,Indian,25199,"Manufacturing (Metals and Chemicals, and products thereof)"
U64990KA2020PTC136220,GRANDWAY TECHNOLOGIES PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,1501000000,1500426000,20-07-2020,"No. 430 3rd Floor, 4th Block,   8th Main Road Koramangala,,Bangalore,Bangalore,Karnataka,560034-India",Unlisted,Active,karnataka,Indian,64990,Finance
U64990KA2023PTC175586,INDHU INVESTMENTS PRIVATE LIMITED,ROC Bangalore,Company limited by shares,Non-government company,Private,5000000,100000,05-07-2023,"No. 2, SS Mantion,18th Block 80ft Main Road,Mysore,Mysore,Karnataka,570019-India",Unlisted,Active,karnataka,Indian,64990,Finance
